Date,Asset,Action,Amount,Price (AUD)
2017-08-01,CURRENCY:AUD,BUY,100000,$1.00
2017-08-01,NASDAQ:AAPL,BUY,34,$188.61
2017-09-01,NASDAQ:AMZN,BUY,5,"$1,227.75"
2017-10-01,NASDAQ:GOOG,BUY,9,"$1,215.07"
2017-11-01,NASDAQ:FB,BUY,48,$237.95
2017-12-01,NASDAQ:INTC,BUY,74,$58.73
2018-01-01,NASDAQ:PEP,BUY,34,$151.39
2018-02-01,NASDAQ:NFLX,BUY,36,$332.75
2018-03-01,NASDAQ:CSCO,BUY,84,$56.76
2018-04-01,NASDAQ:FB,SELL,13,$202.27
2018-05-01,NASDAQ:INTC,SELL,30,$69.91
2018-06-01,NASDAQ:GOOG,BUY,2,"$1,505.60"
2018-07-01,NASDAQ:NFLX,SELL,10,$538.23
2018-08-01,NASDAQ:AMZN,BUY,2,"$2,477.12"
2018-09-01,NASDAQ:FB,SELL,5,$237.99
2018-10-01,NASDAQ:AAPL,BUY,20,$317.30
2018-11-01,NASDAQ:AMZN,BUY,2,"$2,311.69"
2018-12-01,NASDAQ:GOOG,BUY,2,"$1,512.34"
2019-01-01,NASDAQ:FB,BUY,12,$192.52
2019-02-01,NASDAQ:INTC,BUY,33,$67.86
2019-03-01,NASDAQ:PEP,BUY,2,$164.01
2019-04-01,NASDAQ:NFLX,BUY,5,$517.20
2019-05-01,NASDAQ:CSCO,SELL,40,$78.33
2019-06-01,NASDAQ:GOOG,SELL,1,"$1,492.69"
